
2025/02/22 (00:39:53) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2025/02/22 (00:39:53) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2025/02/22 (00:39:53) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2025/02/22 (00:39:53) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2025/02/22 (00:39:54) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2025/02/22 (00:39:54) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2025/02/22 (00:39:54) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2025/02/22 (00:39:55) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2025/02/22 (00:39:55) | DEBUG: Loading theme file: /usr/share/btop/themes/phoenix-night.theme
2025/02/22 (00:39:55) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2025/02/22 (00:39:56) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2025/02/22 (00:39:56) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2025/02/22 (00:39:56) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2025/02/22 (00:40:01) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2025/02/22 (00:40:02) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2025/02/22 (00:40:02) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2025/02/22 (00:40:02) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2025/02/22 (00:40:06) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2025/02/22 (00:40:06) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2025/02/22 (00:40:07) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2025/02/22 (00:40:09) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2025/02/22 (00:40:12) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2025/02/22 (00:40:12) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2025/02/22 (00:40:13) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2025/02/22 (00:40:13) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2025/02/22 (00:40:22) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2025/02/22 (00:40:23) | DEBUG: Loading theme file: /usr/share/btop/themes/adwaita.theme
2025/02/22 (00:40:23) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2025/02/22 (00:40:24) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2025/02/22 (00:40:25) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_light.theme
2025/02/22 (00:40:25) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2025/02/22 (00:40:29) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-medium.theme
2025/02/22 (01:10:18) | DEBUG: Writing new config file
2025/02/22 (01:10:18) | INFO: Quitting! Runtime: 00:34:34

2025/02/23 (21:12:57) | ===> btop++ v.1.4.0
2025/02/23 (21:12:57) | INFO: Logger set to DEBUG
2025/02/23 (21:12:57) | DEBUG: Using locale C.UTF-8
2025/02/23 (21:12:57) | INFO: Running on /dev/pts/3
2025/02/23 (21:12:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (21:12:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/23 (21:12:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/23 (21:12:58) | DEBUG: Shared::init() : Initialized.
2025/02/23 (21:19:59) | DEBUG: Writing new config file
2025/02/23 (21:19:59) | INFO: Quitting! Runtime: 00:07:02

2025/02/23 (21:22:56) | ===> btop++ v.1.4.0
2025/02/23 (21:22:56) | INFO: Logger set to DEBUG
2025/02/23 (21:22:56) | DEBUG: Using locale C.UTF-8
2025/02/23 (21:22:56) | INFO: Running on /dev/pts/3
2025/02/23 (21:22:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (21:22:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/23 (21:22:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/23 (21:22:56) | DEBUG: Shared::init() : Initialized.
2025/02/23 (21:23:23) | INFO: Quitting! Runtime: 00:00:27

2025/02/23 (21:23:26) | ===> btop++ v.1.4.0
2025/02/23 (21:23:26) | INFO: Logger set to DEBUG
2025/02/23 (21:23:26) | DEBUG: Using locale C.UTF-8
2025/02/23 (21:23:26) | INFO: Running on /dev/pts/3
2025/02/23 (21:23:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (21:23:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/23 (21:23:26) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/23 (21:23:26) | DEBUG: Shared::init() : Initialized.
2025/02/23 (21:23:27) | INFO: Quitting! Runtime: 00:00:01

2025/02/23 (21:29:23) | ===> btop++ v.1.4.0
2025/02/23 (21:29:23) | INFO: Logger set to DEBUG
2025/02/23 (21:29:23) | DEBUG: Using locale C.UTF-8
2025/02/23 (21:29:23) | INFO: Running on /dev/pts/3
2025/02/23 (21:29:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (21:29:23) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/23 (21:29:23) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/23 (21:29:23) | DEBUG: Shared::init() : Initialized.

2025/02/23 (21:43:50) | ===> btop++ v.1.4.0
2025/02/23 (21:43:50) | INFO: Logger set to DEBUG
2025/02/23 (21:43:50) | DEBUG: Using locale C.UTF-8
2025/02/23 (21:43:50) | INFO: Running on /dev/pts/3
2025/02/23 (21:43:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (21:43:50) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/23 (21:43:50) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/23 (21:43:50) | DEBUG: Shared::init() : Initialized.

2025/02/23 (21:52:21) | ===> btop++ v.1.4.0
2025/02/23 (21:52:21) | INFO: Logger set to DEBUG
2025/02/23 (21:52:21) | DEBUG: Using locale C.UTF-8
2025/02/23 (21:52:21) | INFO: Running on /dev/pts/3
2025/02/23 (21:52:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (21:52:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/23 (21:52:21) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/23 (21:52:21) | DEBUG: Shared::init() : Initialized.
2025/02/23 (21:54:31) | INFO: Quitting! Runtime: 00:02:10

2025/02/26 (17:42:18) | ===> btop++ v.1.4.0
2025/02/26 (17:42:18) | INFO: Logger set to DEBUG
2025/02/26 (17:42:18) | DEBUG: Using locale C.UTF-8
2025/02/26 (17:42:18) | INFO: Running on /dev/pts/2
2025/02/26 (17:42:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/26 (17:42:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/26 (17:42:18) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/26 (17:42:18) | DEBUG: Shared::init() : Initialized.
2025/02/26 (17:42:38) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2025/02/26 (17:42:40) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2025/02/26 (17:42:40) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2025/02/26 (17:42:41) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2025/02/26 (17:42:41) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2025/02/26 (17:42:41) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2025/02/26 (17:42:42) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2025/02/26 (17:42:42) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2025/02/26 (17:42:43) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2025/02/26 (17:42:43) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2025/02/26 (17:42:43) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2025/02/26 (17:42:43) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2025/02/26 (17:42:44) | DEBUG: Loading theme file: /usr/share/btop/themes/phoenix-night.theme
2025/02/26 (17:42:44) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2025/02/26 (17:42:45) | DEBUG: Loading theme file: /usr/share/btop/themes/phoenix-night.theme
2025/02/26 (17:42:45) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2025/02/26 (17:42:45) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2025/02/26 (17:42:46) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2025/02/26 (17:42:46) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2025/02/26 (17:42:46) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2025/02/26 (17:42:47) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2025/02/26 (17:42:47) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2025/02/26 (17:42:47) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2025/02/26 (17:42:54) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2025/02/26 (17:42:55) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
